Sales Date,Car Make,Car Model,Model Year,Base Price,Discount,Final Price,Accessories Cost,Total Sale Value,Customer Name,Salesperson,Region,Payment Method,Sales Channel,Warranty Years
2025-01-14,Mercedes-Benz,GLC,2021,41008,5291.07,35716.93,2020,37736.93,Chris Lewis,Kevin Ford,East,Finance,Online,5
2020-07-18,Ford,F-150,2022,60674,1545.56,59128.44,4965,64093.44,Mrs. Patricia Garcia,Cassandra Turner,South,Finance,Third-Party Dealer,4
2021-09-07,Mercedes-Benz,E-Class,2015,37662,5551.93,32110.07,921,33031.07,Christie Thomas,Thomas Miller,East,Lease,Third-Party Dealer,4
2023-09-23,Chevrolet,Equinox,2019,57500,5239.93,52260.07,4052,56312.07,Nicole Patterson,Karla Morris,West,Finance,In-Store,3
2024-04-28,Honda,Civic,2024,32817,1172.22,31644.78,4054,35698.78,Jason Smith,Noah Yang,North,Finance,Third-Party Dealer,2
2024-02-15,Ford,Escape,2020,68639,778.84,67860.16,3135,70995.16,Jonathan Peters,Anthony Wright,North,Finance,Online,4
2023-03-08,Chevrolet,Silverado,2019,38972,1153.59,37818.41,3632,41450.41,Tonya Fox,Jason Bass,East,Credit Card,Online,2
2021-07-08,Honda,Accord,2020,54830,6652.8,48177.2,3448,51625.2,Natalie Terry MD,Jacob Dixon,North,Credit Card,Online,1
2023-01-29,Chevrolet,Malibu,2023,18885,2718.98,16166.02,3297,19463.02,Ryan Porter,Alec Miles,West,Lease,In-Store,5
2022-02-21,Mercedes-Benz,GLE,2018,35826,3605.96,32220.04,2960,35180.04,Daniel Rodriguez,Michael Martinez,West,Credit Card,Online,2
2020-04-20,Toyota,Camry,2022,52594,610.99,51983.01,2849,54832.01,Joe Howard,Tony Holloway,North,Credit Card,In-Store,4
2023-12-13,Mercedes-Benz,C-Class,2021,21010,668.1,20341.9,1027,21368.9,Kelsey Gutierrez,Taylor Garcia,South,Lease,In-Store,2
2022-11-09,BMW,3 Series,2024,35743,2829.6,32913.4,3660,36573.4,Robert Richmond,Heather Johnson,North,Lease,Third-Party Dealer,1
2022-11-13,Nissan,Altima,2019,72247,2729.33,69517.67,1490,71007.67,Scott Young,Justin Martinez,East,Cash,In-Store,1
2022-04-20,Nissan,Sentra,2024,68410,6629.48,61780.520000000004,4957,66737.52,Carl Perry,Jesse Martin,East,Lease,Third-Party Dealer,5
2021-11-19,Hyundai,Sonata,2024,40068,1749.75,38318.25,3804,42122.25,Jessica Smith,Shannon Anderson,East,Lease,Third-Party Dealer,2
2020-09-02,Chevrolet,Malibu,2016,17267,781.66,16485.34,4209,20694.34,Timothy White,Sarah Porter,East,Credit Card,In-Store,2
2020-12-05,Ford,Explorer,2020,76820,4665.98,72154.02,4735,76889.02,Madison Marquez,Bryan Caldwell,South,Finance,In-Store,5
2020-09-18,Honda,Civic,2021,20937,1688.79,19248.21,2192,21440.21,Theresa Turner,Valerie Wells,East,Credit Card,Third-Party Dealer,1
2020-06-14,Mercedes-Benz,GLE,2020,36107,4474.54,31632.46,1450,33082.46,Joshua Bush,Julie Henderson,East,Finance,In-Store,2
2022-09-17,Ford,F-150,2017,38903,3257.42,35645.58,3601,39246.58,Matthew Swanson,Amanda Ware,South,Finance,Third-Party Dealer,3
2020-08-28,Ford,Escape,2017,54349,1729.26,52619.74,4237,56856.74,Jill Reeves,Kyle Taylor,South,Cash,Third-Party Dealer,4
2023-05-07,Mercedes-Benz,GLC,2021,50968,950.11,50017.89,721,50738.89,Timothy Price,Lori Baker,North,Lease,In-Store,1
2023-10-13,Nissan,Sentra,2019,16971,1923.65,15047.35,4582,19629.35,William Anderson,Kimberly Mccormick,East,Credit Card,In-Store,1
2020-05-22,Chevrolet,Malibu,2016,24662,3448.79,21213.21,3879,25092.21,Katelyn Armstrong,Richard Mcguire,South,Finance,In-Store,5
2020-05-23,BMW,X3,2017,68279,1289.33,66989.67,3755,70744.67,Robert Smith,David Hill,West,Finance,Third-Party Dealer,2
2024-08-14,Hyundai,Santa Fe,2023,43957,2488.13,41468.87,4204,45672.87,Patricia Murphy,Meghan Oliver,West,Lease,Third-Party Dealer,3
2023-02-01,Mercedes-Benz,C-Class,2024,46041,4841.12,41199.88,1348,42547.88,Samuel Galvan,Daniel Crawford,West,Credit Card,In-Store,1
2023-11-30,Honda,Accord,2024,44544,3993.98,40550.02,1252,41802.02,Brian Pena,Kelly Meyer,South,Credit Card,Online,4
2020-06-11,Hyundai,Sonata,2019,58813,4918.48,53894.520000000004,3481,57375.520000000004,Anna Cordova,Samantha Marshall,South,Finance,In-Store,5
2022-07-23,BMW,3 Series,2024,30236,1858.31,28377.69,1202,29579.69,Andrea Booker,James Garner,East,Finance,In-Store,1
2020-09-29,Chevrolet,Silverado,2024,18837,1246.55,17590.45,2543,20133.45,Jennifer Oconnor,Alexandra Pruitt,North,Credit Card,Third-Party Dealer,3
2021-11-22,Hyundai,Santa Fe,2017,47405,6261.14,41143.86,3946,45089.86,Patrick Hernandez,William Simpson,North,Cash,In-Store,2
2022-03-22,Hyundai,Santa Fe,2024,37036,415.76,36620.24,2885,39505.24,Melanie Horne,Stacy Bonilla,South,Lease,Online,5
2024-04-11,BMW,X3,2016,38084,4825.4,33258.6,4510,37768.6,Felicia Newman,Mary Colon,North,Lease,In-Store,2
2021-04-03,BMW,5 Series,2021,68250,5607.22,62642.78,4480,67122.78,Mr. Eric Alvarez,Mariah Mccullough,South,Cash,Online,4
2022-08-16,Chevrolet,Malibu,2018,34181,1439.83,32741.17,4117,36858.17,Emily Pierce,George Myers,South,Lease,Online,2
2023-08-31,Toyota,RAV4,2023,29667,3950.09,25716.91,3581,29297.91,Jessica Melendez,Christopher Washington,West,Credit Card,Online,3
2020-10-20,Nissan,Sentra,2015,16459,842.02,15616.98,4015,19631.98,Alicia Jackson,Caroline Hicks,South,Credit Card,Third-Party Dealer,3
2020-05-18,Nissan,Rogue,2015,31863,438.66,31424.34,2838,34262.34,Mr. Mark Jacobs PhD,Matthew Gregory,North,Cash,Third-Party Dealer,3
2020-07-19,Hyundai,Elantra,2020,32309,2071.64,30237.36,4356,34593.36,Michael Jacobs,Darren Cain,West,Lease,Third-Party Dealer,5
2021-06-30,Nissan,Sentra,2019,27875,3908.52,23966.48,4954,28920.48,James Green,Teresa Fischer,West,Credit Card,Online,2
2021-05-04,Ford,Explorer,2016,79751,5992.98,73758.02,999,74757.02,Jennifer Moore,Benjamin Diaz,East,Credit Card,Third-Party Dealer,5
2024-05-02,Nissan,Rogue,2020,20677,2234.08,18442.92,4487,22929.92,David Green,William George,East,Lease,Third-Party Dealer,2
2022-09-20,Honda,CR-V,2021,47571,5384.43,42186.57,2244,44430.57,Kayla Payne,Ann Lopez,East,Cash,Online,5
2020-05-20,Nissan,Rogue,2016,18038,673.87,17364.13,2512,19876.13,John Smith,David Davidson,East,Lease,Online,5
2020-09-29,Nissan,Sentra,2022,58827,3606.16,55220.84,3168,58388.84,Samantha Hall,Eric Rasmussen,South,Lease,Third-Party Dealer,3
2021-12-22,Nissan,Sentra,2022,74723,1043.72,73679.28,4044,77723.28,Thomas Powell,Mary Rodriguez,South,Credit Card,Third-Party Dealer,3
2024-02-14,Mercedes-Benz,GLC,2024,51672,6116.46,45555.54,3642,49197.54,Roberta Gonzalez,Melissa Compton,West,Cash,Online,5
2023-12-27,Honda,Pilot,2020,65116,4921.78,60194.22,3675,63869.22,Paula Guerrero,Victor Cain,East,Credit Card,In-Store,2
2023-10-28,Ford,Fusion,2022,38282,5384.43,32897.57,5000,37897.57,Michelle Lloyd,Michael Higgins,East,Cash,Online,1
2023-06-24,Chevrolet,Malibu,2016,32399,4733.32,27665.68,4140,31805.68,Stacy Colon,Rita Foley,South,Lease,In-Store,2
2024-02-12,Toyota,RAV4,2019,33686,3155.2,30530.8,2871,33401.8,Mark Frye,Lindsay Rangel,West,Lease,In-Store,2
2023-12-21,Toyota,RAV4,2019,31521,1382.77,30138.23,3188,33326.229999999996,Christopher Jacobs,Susan Schaefer,North,Lease,In-Store,3
2022-10-20,Toyota,Highlander,2016,26087,420.37,25666.63,4526,30192.63,James Salazar,Robert Rosales,North,Finance,Third-Party Dealer,4
2020-06-25,Chevrolet,Traverse,2021,48846,583.02,48262.98,3818,52080.98,Susan Gay,Michael Thompson,North,Credit Card,In-Store,1
2022-01-22,Toyota,Corolla,2018,41898,1821.89,40076.11,603,40679.11,Pamela Lozano,Rachel Sanders,East,Lease,Online,5
2022-04-02,Honda,CR-V,2017,73720,1939.02,71780.98,2891,74671.98,Victor Wilson,Clinton Jacobs,North,Credit Card,Third-Party Dealer,5
2024-04-22,Chevrolet,Malibu,2023,73916,1794.58,72121.42,844,72965.42,Mary Francis,Dr. Jamie Chang,East,Lease,Third-Party Dealer,1
2024-07-08,Honda,Pilot,2019,16606,2312.72,14293.28,2572,16865.28,Samuel Garza,Susan Martin,West,Lease,Online,2
2023-04-07,Honda,CR-V,2024,47776,5067.72,42708.28,3966,46674.28,Danny Hayes,Ashley Henderson,North,Lease,Third-Party Dealer,3
2020-07-09,Toyota,Camry,2019,40171,5240.84,34930.16,4580,39510.16,Elizabeth Miranda,Christina Dominguez,North,Credit Card,In-Store,5
2020-06-13,Mercedes-Benz,C-Class,2023,36336,4978.55,31357.45,1700,33057.45,Janet Miranda,Patrick Conner,South,Finance,In-Store,4
2023-08-28,Ford,Escape,2017,28008,3604.15,24403.85,4485,28888.85,Joseph Park,Hannah Smith,South,Finance,Online,4
2022-02-24,Hyundai,Santa Fe,2018,69931,2093.73,67837.27,2913,70750.27,Christopher Jones,Crystal Marsh,South,Credit Card,Online,2
2024-06-08,Hyundai,Sonata,2015,34401,4285.18,30115.82,2300,32415.82,Tabitha Rodgers,Mary Mcdonald,South,Lease,In-Store,4
2022-04-09,BMW,X3,2018,60576,1799.13,58776.87,3670,62446.87,Dana Mccall,George Ayala DVM,West,Cash,Online,2
2023-10-26,Chevrolet,Silverado,2020,59788,6753.67,53034.33,3749,56783.33,Heather Simon,Dennis Salinas,North,Credit Card,In-Store,2
2020-09-25,Toyota,RAV4,2019,27609,2019.95,25589.05,2733,28322.05,Julia Lara,Mrs. Kimberly Orr DDS,East,Credit Card,In-Store,5
2020-07-03,Hyundai,Tucson,2019,39530,1616.08,37913.92,2700,40613.92,James Johnson,Daniel Delgado,West,Finance,Online,4
2021-11-10,Chevrolet,Malibu,2021,20914,1754.47,19159.53,1538,20697.53,Benjamin Martinez,Michaela Ross,North,Finance,In-Store,1
2023-10-28,Hyundai,Sonata,2016,56755,3625.66,53129.34,1215,54344.34,Jared Evans,Kathleen Lopez,South,Cash,Third-Party Dealer,4
2022-09-21,Honda,Civic,2023,53063,3173.24,49889.76,2826,52715.76,Jacqueline Moreno,Lucas Torres,South,Cash,Third-Party Dealer,1
2024-02-08,Mercedes-Benz,GLE,2016,44771,1986.42,42784.58,1267,44051.58,Joshua Gonzales,Daniel Thomas,South,Finance,Third-Party Dealer,5
2023-12-29,BMW,5 Series,2021,48041,2256.44,45784.56,3494,49278.56,Leroy Davis,Bruce Sutton,South,Finance,Online,5
2020-12-17,Toyota,RAV4,2015,55863,5673.91,50189.09,612,50801.09,Stephen Lyons,Cheryl Hall,North,Lease,Online,5
2023-06-09,BMW,X5,2015,18731,1591.05,17139.95,2304,19443.95,Austin Daniel,Sean Fox,East,Finance,In-Store,3
2020-07-12,Mercedes-Benz,GLE,2021,51375,4909.1,46465.9,3711,50176.9,Kelly Shelton,Walter Carter,South,Credit Card,In-Store,3
2024-08-28,Ford,Fusion,2020,47111,5835.0,41276.0,2507,43783.0,Mrs. Stephanie Hess,Adam Brown,North,Cash,Third-Party Dealer,2
2021-12-03,Toyota,Corolla,2019,45954,4307.12,41646.88,1611,43257.88,James Wang,Amy Williams,West,Lease,Third-Party Dealer,4
2023-10-10,Nissan,Rogue,2023,71145,1311.11,69833.89,4317,74150.89,Laura Sanchez,Michael Mcdaniel,East,Lease,Third-Party Dealer,4
2023-01-17,Ford,F-150,2020,75822,7256.61,68565.39,1290,69855.39,Joshua Smith,Johnny Sosa,East,Lease,In-Store,3
2023-07-15,Honda,Pilot,2023,61128,8251.04,52876.96,2419,55295.96,Scott Rivera,David Lane,East,Cash,Third-Party Dealer,4
2025-01-28,Mercedes-Benz,C-Class,2019,75864,8246.77,67617.23,3499,71116.23,Michelle Wilson,Gabriel Smith,East,Credit Card,In-Store,4
2024-05-20,Honda,Civic,2017,31906,925.39,30980.61,505,31485.61,Olivia Young,Susan Mcdonald,East,Lease,Online,2
2022-03-01,BMW,X3,2020,28700,3169.24,25530.760000000002,2632,28162.760000000002,Ann Sanders,Kelly Haley,South,Finance,Online,4
2024-04-27,Toyota,RAV4,2022,59887,4080.97,55806.03,561,56367.03,Mark Garcia,Diana Hill,North,Cash,Third-Party Dealer,5
2022-01-07,Honda,Pilot,2023,23375,3166.29,20208.71,3382,23590.71,Steven Clark,Linda Spears,East,Credit Card,Online,1
2023-12-06,BMW,3 Series,2022,62378,8874.59,53503.41,764,54267.41,Sharon Walsh,Laura Martin,East,Cash,Online,1
2021-03-02,Ford,F-150,2015,59967,8899.79,51067.21,4858,55925.21,Cindy Osborne,Vanessa Rivas,South,Lease,Online,4
2022-08-10,Ford,Explorer,2022,75680,9344.3,66335.7,4870,71205.7,Cory Johnson,Spencer Waters,West,Cash,In-Store,5
2021-10-07,Toyota,RAV4,2018,63184,1633.33,61550.67,1753,63303.67,Alex Kelly,Janet Gibbs,West,Cash,In-Store,1
2020-04-22,Chevrolet,Traverse,2023,27215,1640.17,25574.83,3899,29473.83,Lisa Edwards,Allison Hamilton,West,Finance,Third-Party Dealer,5
2021-11-11,Nissan,Sentra,2018,55643,5579.87,50063.13,4593,54656.13,Dylan Cortez,Susan Wilson,East,Finance,Third-Party Dealer,5
2020-12-19,Ford,Explorer,2020,56803,2168.7,54634.3,796,55430.3,Virginia Miller,Heather Butler,North,Credit Card,Online,2
2023-05-26,Toyota,Camry,2015,73632,3705.89,69926.11,3544,73470.11,Anthony Moyer,John Cohen,North,Cash,Third-Party Dealer,1
2022-10-12,Honda,Pilot,2022,38490,3639.32,34850.68,2920,37770.68,Anthony Jimenez,Catherine Howard,North,Credit Card,Online,3
2023-09-07,Honda,Civic,2020,41190,3206.44,37983.56,1341,39324.56,John Anderson,Stephanie Knox,South,Finance,Online,2
2024-08-10,Honda,Accord,2023,32493,3619.98,28873.02,4997,33870.020000000004,Jose Jenkins,Joseph Johnson,West,Lease,Online,1
2023-05-31,Mercedes-Benz,GLC,2021,29174,1051.16,28122.84,2207,30329.84,Mary Mason,Amy Harmon,North,Cash,Online,1
2020-06-08,Nissan,Sentra,2020,67003,6251.77,60751.229999999996,1428,62179.229999999996,Rebecca King,Chelsea Peterson,North,Lease,Online,3
2021-02-06,Ford,Explorer,2023,43976,5329.8,38646.2,2299,40945.2,Robert Brown,Patricia Bennett,East,Cash,Third-Party Dealer,3
2025-02-25,BMW,5 Series,2016,59642,5096.16,54545.84,944,55489.84,Charles Sanford,Cindy Davis,North,Finance,In-Store,2
2022-10-27,Nissan,Rogue,2020,23726,1832.87,21893.13,2509,24402.13,Anne Owens,Nicholas Burton,East,Credit Card,Online,5
2022-06-03,Hyundai,Sonata,2017,75206,1801.14,73404.86,4102,77506.86,Steven Flores,William Crawford,South,Lease,Online,1
2021-10-02,BMW,5 Series,2017,38250,2867.92,35382.08,1438,36820.08,Ryan Hull,David Hill,North,Finance,Online,3
2024-03-29,Mercedes-Benz,GLE,2019,16683,194.15,16488.85,1269,17757.85,Amanda Hart,Christopher Hunt,East,Finance,Third-Party Dealer,5
2020-11-26,Toyota,Camry,2016,54621,8137.22,46483.78,1774,48257.78,Amanda Brown,Amy Gonzales,West,Cash,Online,1
2022-05-29,Chevrolet,Silverado,2017,50198,6788.87,43409.13,4647,48056.13,Jeffrey Pierce,Aimee Montgomery,East,Cash,In-Store,4
2022-04-22,Hyundai,Santa Fe,2023,36762,916.02,35845.98,2047,37892.98,Derrick Hammond,Tina Summers,North,Lease,Third-Party Dealer,1
2021-05-22,Ford,Escape,2016,56992,7078.17,49913.83,2744,52657.83,Allison Wall,Barbara Hamilton,South,Lease,Online,1
2023-04-24,Chevrolet,Silverado,2019,75473,10435.08,65037.92,2444,67481.92,Molly Richardson,Manuel Morgan,West,Credit Card,Online,2
2021-08-06,Chevrolet,Equinox,2016,33263,523.54,32739.46,3564,36303.46,Breanna Farrell,Paul Glass,West,Finance,Online,2
2020-04-17,BMW,X3,2017,40697,2922.18,37774.82,2850,40624.82,Megan Campbell,Jason Holmes,North,Credit Card,Third-Party Dealer,2
2023-02-28,Mercedes-Benz,C-Class,2018,75922,8323.42,67598.58,2551,70149.58,Timothy Taylor,Michael Hopkins,West,Credit Card,Online,2
2022-07-29,Mercedes-Benz,GLE,2023,60674,7101.01,53572.99,3091,56663.99,Mark Martinez,Richard Garrett,West,Cash,Third-Party Dealer,4
2021-10-15,Ford,Escape,2017,38808,1650.21,37157.79,1424,38581.79,Barry Jensen,Michael Murray,West,Lease,Third-Party Dealer,1
2021-07-31,Honda,Accord,2024,71486,9482.64,62003.36,2589,64592.36,George Robinson,William White,West,Finance,Online,3
2024-06-08,Chevrolet,Traverse,2024,46284,883.71,45400.29,2561,47961.29,Maria Anderson,Richard Andrews,West,Finance,Online,5
2021-09-30,Hyundai,Tucson,2018,53154,1443.21,51710.79,3808,55518.79,Madison Flores,Angela Robinson,South,Finance,In-Store,4
2023-08-26,Chevrolet,Equinox,2020,15616,789.74,14826.26,3117,17943.260000000002,Mary Johnston,Sandra Smith,East,Lease,Online,1
2025-01-15,Honda,CR-V,2018,21023,672.49,20350.51,3283,23633.51,Jennifer Mitchell,Joseph Warren,East,Cash,Third-Party Dealer,4
2021-06-23,Mercedes-Benz,GLE,2015,75897,1731.51,74165.49,1150,75315.49,Joshua Thompson,Kyle Booth,West,Credit Card,Third-Party Dealer,5
2024-08-23,BMW,X5,2020,54522,4561.27,49960.729999999996,3360,53320.729999999996,Nancy Wyatt,Joshua Brown,West,Credit Card,Third-Party Dealer,1
2024-12-14,Mercedes-Benz,E-Class,2024,39760,2696.81,37063.19,1557,38620.19,Haley Miles,Rebecca Mason,East,Credit Card,Online,2
2020-08-12,Mercedes-Benz,C-Class,2024,26490,1459.04,25030.96,1651,26681.96,Donald Collins,Amanda Garcia,West,Finance,Online,1
2023-01-07,Hyundai,Elantra,2020,22244,1698.06,20545.94,2151,22696.94,Robert Schneider,Charles Johnson,East,Cash,In-Store,1
2024-01-13,BMW,X3,2022,63147,2411.11,60735.89,714,61449.89,Daniel Mason,Mark Williams,West,Credit Card,In-Store,5
2023-10-30,Chevrolet,Traverse,2016,63728,3123.14,60604.86,4414,65018.86,Lauren Armstrong,Mr. Michael Johnson,South,Finance,Online,1
2023-02-13,Ford,F-150,2020,70938,10417.78,60520.22,4945,65465.22,Judith Robinson,Joshua Stanley,South,Finance,Online,5
2021-03-24,Mercedes-Benz,GLC,2015,39557,4721.61,34835.39,1986,36821.39,Nicole Sanchez,Richard Williams,East,Lease,In-Store,4
2022-02-01,Ford,Fusion,2017,31326,1194.66,30131.34,4629,34760.34,James Johnson,Tammy Garrison,East,Cash,Third-Party Dealer,5
2021-11-08,Chevrolet,Equinox,2017,41967,4624.89,37342.11,1043,38385.11,Caitlyn Washington,Stephanie Norton,North,Finance,Online,1
2022-04-01,Hyundai,Sonata,2016,66704,1588.08,65115.92,819,65934.92,Diana Watkins,Catherine Bolton,North,Credit Card,In-Store,5
2024-12-28,Honda,CR-V,2018,35899,2422.58,33476.42,795,34271.42,Justin Nicholson,Jacob Gutierrez,East,Lease,In-Store,4
2025-01-24,Honda,CR-V,2019,15296,1096.85,14199.15,2695,16894.15,Candice Brooks,Tina Miller,South,Cash,Online,2
2024-07-11,Toyota,Corolla,2018,66865,1869.64,64995.36,1424,66419.36,Debra Lloyd,Hayley Vaughn,West,Finance,Third-Party Dealer,3
2020-07-11,Nissan,Rogue,2022,66834,6488.54,60345.46,1121,61466.46,Holly Stuart,Brandon Long,South,Cash,In-Store,4
2024-11-30,Nissan,Rogue,2018,28405,4137.56,24267.44,2465,26732.44,Ashley Santos,Robert Brown,West,Credit Card,Third-Party Dealer,4
2023-04-17,Nissan,Rogue,2018,19705,2285.45,17419.55,3330,20749.55,Kara Jacobs,Sean Williams,East,Credit Card,In-Store,2
2022-02-22,Honda,Accord,2021,29178,4358.85,24819.15,3462,28281.15,Natalie Webster,Albert Hobbs,North,Finance,In-Store,2
2024-02-22,Toyota,Highlander,2018,40557,3916.95,36640.05,2920,39560.05,Debbie Grant,Sara Murphy,West,Finance,Online,3
2020-11-18,Chevrolet,Equinox,2024,60436,6218.38,54217.62,701,54918.62,Harry Vazquez,Alexander Mendoza,West,Finance,Third-Party Dealer,2
2022-12-22,Chevrolet,Silverado,2016,32667,3242.96,29424.04,4159,33583.04,Max Ross,Steven Reeves,East,Credit Card,Online,2
2024-07-13,Hyundai,Tucson,2022,33843,1343.97,32499.03,3256,35755.03,Robert Cox,Paul Wang,East,Cash,In-Store,5
2024-06-17,BMW,3 Series,2020,76320,929.1,75390.9,3584,78974.9,Corey Castillo,Julian Graham,East,Cash,Online,3
2024-08-25,Mercedes-Benz,C-Class,2024,72872,5291.03,67580.97,4351,71931.97,Ryan Gomez,Andrew Fuentes,North,Lease,In-Store,1
2021-04-20,Ford,F-150,2020,41149,629.26,40519.74,1298,41817.74,Tyrone Anderson,Bryan Fischer,East,Lease,Third-Party Dealer,5
2024-06-26,Hyundai,Santa Fe,2020,60203,4615.2,55587.8,511,56098.8,Joseph Owens,Robyn Anderson,East,Cash,In-Store,1
2021-07-20,Honda,Pilot,2022,74648,7091.4,67556.6,595,68151.6,Kimberly Guerra,Jacob Castro,North,Lease,Third-Party Dealer,5
2024-04-20,Nissan,Sentra,2015,39665,4087.21,35577.79,1851,37428.79,Marie Moore,Jacob Howell,West,Lease,In-Store,1
2024-10-12,Honda,Pilot,2017,42833,4118.03,38714.97,4086,42800.97,Randy Carter,David Ellis,West,Credit Card,Third-Party Dealer,2
2025-01-05,BMW,3 Series,2020,26205,3341.24,22863.760000000002,4746,27609.760000000002,Jennifer Young,Adam Rhodes,West,Lease,Third-Party Dealer,1
2021-10-10,Nissan,Rogue,2024,49004,1673.07,47330.93,1074,48404.93,Robert Hicks,Melissa Price,South,Cash,Third-Party Dealer,2
2023-11-27,Ford,Fusion,2019,64846,3627.75,61218.25,1240,62458.25,Timothy Le,Jennifer Robinson,North,Finance,In-Store,2
2023-03-14,Hyundai,Santa Fe,2017,66897,5824.27,61072.729999999996,1335,62407.729999999996,John Williams,Benjamin Grant,South,Credit Card,Third-Party Dealer,1
2023-10-06,Toyota,Camry,2018,21804,3154.1,18649.9,4503,23152.9,Howard Pittman,Charles Smith,East,Cash,In-Store,4
2022-01-26,Honda,Pilot,2023,38009,2006.71,36002.29,4935,40937.29,Julie Little,Tracey Mckenzie,East,Credit Card,Online,5
2023-09-12,Ford,Explorer,2017,66934,9207.73,57726.270000000004,2472,60198.270000000004,Shaun Mcbride,George Williams,East,Cash,Online,1
2023-10-29,Toyota,RAV4,2022,36661,869.09,35791.91,1626,37417.91,Mr. Timothy Gallegos,Jesse Smith,North,Lease,Online,5
2023-08-12,Hyundai,Santa Fe,2023,68221,7063.81,61157.19,1006,62163.19,Ryan Vazquez,Mark Cook,West,Credit Card,In-Store,4
2023-09-26,Ford,Explorer,2017,39179,1904.16,37274.84,3752,41026.84,Rachel Goodman,Anthony Sanchez,North,Finance,Third-Party Dealer,1
2021-03-24,Ford,F-150,2023,22887,1783.11,21103.89,1333,22436.89,Dillon Reynolds,Sabrina Woods,East,Credit Card,In-Store,5
2023-07-26,Nissan,Altima,2022,49364,4583.56,44780.44,600,45380.44,Eugene Erickson,Angie Jensen,East,Cash,In-Store,5
2020-09-18,Ford,Escape,2024,65589,1813.18,63775.82,4748,68523.82,Bradley Smith,David Wagner,North,Cash,Third-Party Dealer,2
2021-09-27,Hyundai,Santa Fe,2016,75094,10567.9,64526.1,3820,68346.1,Linda Taylor MD,Elizabeth Espinoza,West,Cash,Online,5
2023-10-18,Ford,F-150,2016,21854,1825.68,20028.32,4059,24087.32,Denise Chen,Linda Cummings,East,Finance,Third-Party Dealer,5
2020-09-26,Honda,Pilot,2024,16184,295.77,15888.23,2074,17962.23,Patricia Lang,Samantha Burke,North,Lease,Third-Party Dealer,2
2021-06-11,BMW,X5,2018,59096,7973.67,51122.33,4652,55774.33,Eric Perez,Damon Escobar,West,Finance,Third-Party Dealer,2
2020-06-11,Mercedes-Benz,GLC,2016,28845,3923.22,24921.78,2480,27401.78,Charles Smith,Jesse Roberson,South,Cash,Third-Party Dealer,3
2022-06-15,Nissan,Rogue,2019,26765,3544.81,23220.19,4607,27827.19,Joseph Adams,Jennifer Anderson,North,Lease,Online,4
2022-04-23,BMW,X3,2022,59605,5861.33,53743.67,2879,56622.67,Thomas Clements,Crystal Estrada,South,Lease,Third-Party Dealer,3
2022-04-22,Honda,Civic,2024,25627,1151.42,24475.58,2572,27047.58,Christopher Hill,Cynthia Chen,West,Credit Card,Third-Party Dealer,5
2020-04-14,BMW,X5,2019,79381,11186.98,68194.02,4476,72670.02,Rachel Cummings,Cody Burton,North,Lease,Third-Party Dealer,5
2023-02-22,Ford,Fusion,2016,37549,3172.78,34376.22,3420,37796.22,Dominic Harding,Tammy Mcgee,North,Cash,Online,3
2021-01-07,Mercedes-Benz,C-Class,2017,43814,560.9,43253.1,1571,44824.1,Stephanie Gaines,Richard Martinez,West,Lease,In-Store,3
2022-02-09,Nissan,Murano,2016,41214,5050.67,36163.33,2365,38528.33,Patricia Duke,Renee Williams,East,Cash,In-Store,3
2021-06-23,Nissan,Sentra,2016,22694,2307.77,20386.23,2858,23244.23,Mrs. Tammy Erickson,Natalie Romero,South,Finance,Online,4
2020-10-05,Ford,F-150,2015,74065,3519.66,70545.34,999,71544.34,Mrs. Jamie Carlson DDS,Jessica Diaz,South,Finance,In-Store,2
2022-02-17,Ford,F-150,2015,62582,5601.83,56980.17,1219,58199.17,Mark Morgan,Shane Foster,South,Credit Card,Online,2
2020-07-20,Toyota,Corolla,2017,41928,2490.6,39437.4,4852,44289.4,Philip Cruz,Sarah Bryant,South,Credit Card,Third-Party Dealer,2
2021-10-02,Mercedes-Benz,E-Class,2020,37312,3487.86,33824.14,2422,36246.14,Mike Williams,Wendy Wagner,East,Cash,In-Store,1
2023-12-13,BMW,3 Series,2016,42498,2399.17,40098.83,1590,41688.83,Annette Rojas,Eric Carlson,North,Lease,Third-Party Dealer,5
2024-04-20,Chevrolet,Traverse,2021,25641,3063.04,22577.96,2661,25238.96,Kristen Mata,Mikayla Williamson,South,Lease,Online,5
2021-07-24,Chevrolet,Silverado,2018,70487,2927.53,67559.47,3759,71318.47,Matthew Gilbert,Christopher Woodard,South,Credit Card,In-Store,5
2022-02-10,Ford,F-150,2024,56181,1811.2,54369.8,4322,58691.8,Paul Alexander,Joseph Parker,East,Finance,In-Store,3
2023-02-23,Honda,CR-V,2018,44069,1151.24,42917.76,2139,45056.76,Theresa Collins,Jessica Gonzalez,North,Finance,Third-Party Dealer,4
2020-08-07,Toyota,RAV4,2019,22246,2206.93,20039.07,2252,22291.07,Paul Cherry,James Dunn,East,Cash,Third-Party Dealer,2
2020-05-25,Chevrolet,Silverado,2018,52668,7237.73,45430.270000000004,3049,48479.270000000004,Cody Pierce,Susan Smith,West,Lease,Third-Party Dealer,2
2023-01-01,Mercedes-Benz,GLC,2017,29154,1193.2,27960.8,2872,30832.8,Nichole Campbell,Thomas Stark,East,Finance,Third-Party Dealer,1
2024-05-01,Nissan,Rogue,2022,62613,1579.46,61033.54,4552,65585.54000000001,David Jones,Nicholas Hess,West,Cash,Online,5
